Date,Open,High,Low,Close,Adj Close,Volume
"Sep 30, 2015",5909.2,6061.6,5909.2,6061.6,6061.6,1018944000
"Sep 29, 2015",5958.9,5958.9,5877.1,5909.2,5909.2,1000021900
"Sep 28, 2015",6109,6110.3,5958.9,5958.9,5958.9,968395200
"Sep 25, 2015",5961.5,6120.7,5961.5,6109,6109,837519200
"Sep 24, 2015",6032.2,6055.6,5947.2,5961.5,5961.5,867489200
"Sep 23, 2015",5935.8,6067.6,5933.2,6032.2,6032.2,725707700
"Sep 22, 2015",6108.7,6111.6,5935.8,5935.8,5935.8,941657100
"Sep 21, 2015",6104.1,6168.7,6083.6,6108.7,6108.7,697537600
"Sep 18, 2015",6187,6188.7,6053.9,6104.1,6104.1,1508172800
"Sep 17, 2015",6229.2,6239.9,6182.6,6187,6187,836839300
"Sep 16, 2015",6137.6,6244.9,6137.6,6229.2,6229.2,818994800
"Sep 15, 2015",6084.6,6158.1,6019.9,6137.6,6137.6,706522000
"Sep 14, 2015",6117.8,6191.8,6065.4,6084.6,6084.6,598665000
"Sep 11, 2015",6155.8,6174.3,6113.1,6117.8,6117.8,584620900
"Sep 10, 2015",6229,6229,6127.5,6155.8,6155.8,749536800
"Sep 09, 2015",6146.1,6284.2,6146.1,6229,6229,734267900
"Sep 08, 2015",6074.5,6196.5,6074.5,6146.1,6146.1,664577700
"Sep 07, 2015",6042.9,6125.7,6042.9,6074.5,6074.5,464760500
"Sep 04, 2015",6194.1,6194.1,6040.5,6042.9,6042.9,743172100
"Sep 03, 2015",6083.3,6215.7,6083.3,6194.1,6194.1,735720100
"Sep 02, 2015",6058.5,6161.7,6021.4,6083.3,6083.3,769181300
"Sep 01, 2015",6247.9,6247.9,6028.7,6058.5,6058.5,1001128800
"Aug 28, 2015",6192,6247.9,6152,6247.9,6247.9,868831700
"Aug 27, 2015",5979.2,6212.5,5979.2,6192,6192,1028065800
"Aug 26, 2015",6081.3,6095.1,5949.9,5979.2,5979.2,991933700
